service_id,date,exception_type
16636,20240729,1
16636,20240730,1
16636,20240731,1
16636,20240801,1
16636,20240802,1
16636,20240805,1
16636,20241022,1
16636,20241023,1
16636,20241024,1
16636,20241025,1
16636,20241014,1
16636,20241015,1
16636,20241016,1
16636,20241017,1
16636,20241018,1
16636,20241021,1
16636,20241004,1
16636,20241007,1
16636,20241008,1
16636,20241009,1
16636,20241010,1
16636,20241011,1
16636,20240926,1
16636,20240927,1
16636,20240930,1
16636,20241001,1
16636,20241002,1
16636,20241003,1
16636,20240917,1
16636,20240918,1
16636,20240919,1
16636,20240923,1
16636,20240924,1
16636,20240925,1
16636,20240909,1
16636,20240910,1
16636,20240911,1
16636,20240912,1
16636,20240913,1
16636,20240916,1
16636,20240830,1
16636,20240902,1
16636,20240903,1
16636,20240904,1
16636,20240905,1
16636,20240906,1
16636,20240822,1
16636,20240823,1
16636,20240826,1
16636,20240827,1
16636,20240828,1
16636,20240829,1
16636,20240814,1
16636,20240815,1
16636,20240816,1
16636,20240819,1
16636,20240820,1
16636,20240821,1
16636,20240806,1
16636,20240807,1
16636,20240808,1
16636,20240809,1
16636,20240812,1
16636,20240813,1
16660,20240920,1
