shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
9990999,35.1155029303209,33.3590733406205,0
9990999,35.1147904824868,33.3591031368653,1
9990999,35.1138529322645,33.3590222064024,2
9990999,35.1123910897674,33.359377925052,3
9990999,35.1125951921879,33.3604871633481,4
9990999,35.1126655653519,33.3610800527539,5
9990999,35.1127259686464,33.3619911364597,6
9990999,35.1127653373451,33.3639007354856,7
9990999,35.1128276331364,33.3641753553029,8
9990999,35.1130518729647,33.3645714077968,9
9990999,35.1132768710974,33.3647150690349,10
9990999,35.1137455616302,33.3647830005214,11
9990999,35.1144135854394,33.3645335775123,12
9990999,35.1157407790525,33.3639798095135,13
9990999,35.1160838236859,33.3638496453467,14
9990999,35.1167696162067,33.3636880806457,15
9990999,35.1183585969056,33.3630366748718,16
9990999,35.1190896049758,33.3628314013195,17
9990999,35.1199015365233,33.3627033054114,18
9990999,35.1211011694744,33.3625878997734,19
9990999,35.1217232823134,33.3626126063402,20
9990999,35.1224264174377,33.3626815724267,21
9990999,35.1230573501244,33.3627721698157,22
9990999,35.1237060868027,33.3629396738223,23
9990999,35.1248589570329,33.3633838011528,24
9990999,35.1257862997049,33.3638598645437,25
9990999,35.1262813486588,33.3641584053183,26
9990999,35.1267762647944,33.3645008514781,27
9990999,35.1271720912506,33.3648099329724,28
9990999,35.1279635430956,33.3654939585406,29
9990999,35.1286197680766,33.3661664162444,30
9990999,35.1291318822588,33.366783359003,31
9990999,35.1296166092523,33.3675099461416,32
9990999,35.1299575589264,33.3680712544976,33
9990999,35.1303880086718,33.3688524922331,34
9990999,35.1308902884499,33.3697328479985,35
9990999,35.1313387949778,33.3705032089818,36
9990999,35.1318144821801,33.3712297967586,37
9990999,35.1327672599968,33.3722219958871,38
9990999,35.1328841107995,33.3723432680811,39
9990999,35.1336034497919,33.3730051327323,40
9990999,35.1348544185481,33.3737901813542,41
9990999,35.1358807018162,33.3743327353801,42
9990999,35.1367906433122,33.3745893697777,43
9990999,35.1374394632597,33.3747240659182,44
9990999,35.1386384583489,33.3748173776271,45
9990999,35.1394319919114,33.3748100377026,46
9990999,35.1400994905079,33.374736255785,47
9990999,35.1403158994527,33.3747372475732,48
9990999,35.1409114652266,33.3745972698562,49
9990999,35.1418499834695,33.3743600623508,50
9990999,35.1426893815196,33.3741004405048,51
9990999,35.1434472868946,33.3739502189634,52
9990999,35.1445568563364,33.3738016025794,53
9990999,35.1456744942145,33.3739604064745,54
9990999,35.1471348126834,33.374109804832,55
9990999,35.148902150243,33.3741178933113,56
9990999,35.150840234321,33.3743134038423,57
9990999,35.1518407168206,33.3744497330817,58
9990999,35.152966724261,33.3748172021189,59
9990999,35.1538857467866,33.3750519805628,60
9990999,35.1541559854234,33.3751410547811,61
9990999,35.1550398230985,33.3750902150392,62
9990999,35.1557805772662,33.3746544360159,63
9990999,35.1565401096789,33.3739771844426,64
9990999,35.1571547908024,33.3734859128313,65
9990999,35.1575159789929,33.3733228680342,66
9990999,35.1579672694608,33.3731821928145,67
9990999,35.1588612382833,33.3727690398029,68
9990999,35.1597189688292,33.3724106127178,69
9990999,35.1601798485497,33.3720833113246,70
9990999,35.1604062176724,33.371776899452,71
9990999,35.1607074122474,33.3705924149975,72
9990999,35.1609278773065,33.3692648145735,73
9990999,35.1611920782698,33.36837661207,74
9990999,35.1615009913926,33.3676093876204,75
9990999,35.1616823640467,33.3672698152785,76
9990999,35.161854751993,33.3669192207828,77
9990999,35.1622533613808,33.366306111439,78
9990999,35.1625795000624,33.3658024756557,79
9990999,35.1628784531685,33.3653426360297,80
9990999,35.1645239121816,33.3639005481743,81
