trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11747441,06:30:00,06:30:00,7840,0,0,0
11747441,06:40:00,06:40:00,339,1,0,0
11747441,06:41:00,06:41:00,337,2,0,0
11747441,06:43:00,06:43:00,335,3,0,0
11747441,06:44:00,06:44:00,333,4,0,0
11747441,06:47:00,06:47:00,326,5,0,0
11747441,06:48:00,06:48:00,322,6,0,0
11747441,06:50:00,06:50:00,3,7,0,0
11747441,06:52:00,06:52:00,7842,8,0,0
11747441,06:52:00,06:52:00,321,9,0,0
11747441,06:54:00,06:54:00,325,10,0,0
11747441,06:56:00,06:56:00,332,11,0,0
11747441,06:56:00,06:56:00,334,12,0,0
11747441,06:57:00,06:57:00,336,13,0,0
11747441,06:58:00,06:58:00,338,14,0,0
11747441,06:59:00,06:59:00,340,15,0,0
11747441,07:12:00,07:12:00,7840,16,0,0
11747442,07:30:00,07:30:00,7840,0,0,0
11747442,07:43:00,07:43:00,339,1,0,0
11747442,07:45:00,07:45:00,337,2,0,0
11747442,07:47:00,07:47:00,335,3,0,0
11747442,07:48:00,07:48:00,333,4,0,0
11747442,07:52:00,07:52:00,326,5,0,0
11747442,07:54:00,07:54:00,322,6,0,0
11747442,07:57:00,07:57:00,3,7,0,0
11747442,07:59:00,07:59:00,7842,8,0,0
11747442,07:59:00,07:59:00,321,9,0,0
11747442,08:01:00,08:01:00,325,10,0,0
11747442,08:04:00,08:04:00,332,11,0,0
11747442,08:05:00,08:05:00,334,12,0,0
11747442,08:06:00,08:06:00,336,13,0,0
11747442,08:08:00,08:08:00,338,14,0,0
11747442,08:10:00,08:10:00,340,15,0,0
11747442,08:27:00,08:27:00,7840,16,0,0
11747443,08:45:00,08:45:00,7840,0,0,0
11747443,08:56:00,08:56:00,339,1,0,0
11747443,08:57:00,08:57:00,337,2,0,0
11747443,08:59:00,08:59:00,335,3,0,0
11747443,09:00:00,09:00:00,333,4,0,0
11747443,09:03:00,09:03:00,326,5,0,0
11747443,09:05:00,09:05:00,322,6,0,0
11747443,09:07:00,09:07:00,3,7,0,0
11747443,09:09:00,09:09:00,7842,8,0,0
11747443,09:09:00,09:09:00,321,9,0,0
11747443,09:11:00,09:11:00,325,10,0,0
11747443,09:13:00,09:13:00,332,11,0,0
11747443,09:14:00,09:14:00,334,12,0,0
11747443,09:15:00,09:15:00,336,13,0,0
11747443,09:16:00,09:16:00,338,14,0,0
11747443,09:17:00,09:17:00,340,15,0,0
11747443,09:31:00,09:31:00,7840,16,0,0
11747444,09:40:00,09:40:00,7840,0,0,0
11747444,09:49:00,09:49:00,339,1,0,0
11747444,09:51:00,09:51:00,337,2,0,0
11747444,09:52:00,09:52:00,335,3,0,0
11747444,09:53:00,09:53:00,333,4,0,0
11747444,09:56:00,09:56:00,326,5,0,0
11747444,09:57:00,09:57:00,322,6,0,0
11747444,09:59:00,09:59:00,3,7,0,0
11747444,10:01:00,10:01:00,7842,8,0,0
11747444,10:01:00,10:01:00,321,9,0,0
11747444,10:03:00,10:03:00,325,10,0,0
11747444,10:05:00,10:05:00,332,11,0,0
11747444,10:05:00,10:05:00,334,12,0,0
11747444,10:06:00,10:06:00,336,13,0,0
11747444,10:07:00,10:07:00,338,14,0,0
11747444,10:08:00,10:08:00,340,15,0,0
11747444,10:21:00,10:21:00,7840,16,0,0
11747445,12:00:00,12:00:00,7840,0,0,0
11747445,12:09:00,12:09:00,339,1,0,0
11747445,12:10:00,12:10:00,337,2,0,0
11747445,12:12:00,12:12:00,335,3,0,0
11747445,12:12:00,12:12:00,333,4,0,0
11747445,12:15:00,12:15:00,326,5,0,0
11747445,12:17:00,12:17:00,322,6,0,0
11747445,12:18:00,12:18:00,3,7,0,0
11747445,12:20:00,12:20:00,7842,8,0,0
11747445,12:20:00,12:20:00,321,9,0,0
11747445,12:22:00,12:22:00,325,10,0,0
11747445,12:24:00,12:24:00,332,11,0,0
11747445,12:25:00,12:25:00,334,12,0,0
11747445,12:25:00,12:25:00,336,13,0,0
11747445,12:26:00,12:26:00,338,14,0,0
11747445,12:28:00,12:28:00,340,15,0,0
11747445,12:41:00,12:41:00,7840,16,0,0
11747446,13:00:00,13:00:00,7840,0,0,0
11747446,13:10:00,13:10:00,339,1,0,0
11747446,13:11:00,13:11:00,337,2,0,0
11747446,13:13:00,13:13:00,335,3,0,0
11747446,13:14:00,13:14:00,333,4,0,0
11747446,13:17:00,13:17:00,326,5,0,0
11747446,13:18:00,13:18:00,322,6,0,0
11747446,13:20:00,13:20:00,3,7,0,0
11747446,13:22:00,13:22:00,7842,8,0,0
11747446,13:22:00,13:22:00,321,9,0,0
11747446,13:24:00,13:24:00,325,10,0,0
11747446,13:26:00,13:26:00,332,11,0,0
11747446,13:27:00,13:27:00,334,12,0,0
11747446,13:28:00,13:28:00,336,13,0,0
11747446,13:29:00,13:29:00,338,14,0,0
11747446,13:30:00,13:30:00,340,15,0,0
11747446,13:44:00,13:44:00,7840,16,0,0
11747447,14:16:00,14:16:00,7840,0,0,0
11747447,14:27:00,14:27:00,339,1,0,0
11747447,14:28:00,14:28:00,337,2,0,0
11747447,14:30:00,14:30:00,335,3,0,0
11747447,14:31:00,14:31:00,333,4,0,0
11747447,14:34:00,14:34:00,326,5,0,0
11747447,14:36:00,14:36:00,322,6,0,0
11747447,14:38:00,14:38:00,3,7,0,0
11747447,14:40:00,14:40:00,7842,8,0,0
11747447,14:40:00,14:40:00,321,9,0,0
11747447,14:42:00,14:42:00,325,10,0,0
11747447,14:45:00,14:45:00,332,11,0,0
11747447,14:46:00,14:46:00,334,12,0,0
11747447,14:47:00,14:47:00,336,13,0,0
11747447,14:48:00,14:48:00,338,14,0,0
11747447,14:50:00,14:50:00,340,15,0,0
11747447,15:07:00,15:07:00,7840,16,0,0
11747448,06:42:00,06:42:00,7840,0,0,0
11747448,06:54:00,06:54:00,339,1,0,0
11747448,06:56:00,06:56:00,337,2,0,0
11747448,06:58:00,06:58:00,335,3,0,0
11747448,06:59:00,06:59:00,333,4,0,0
11747448,07:02:00,07:02:00,326,5,0,0
