route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
20080021,18079,12996239,Kamares-TradeZone,20080021,0
20090011,18079,12996240,VERGINA,20090011,0
20090012,18079,12996241,LARNACA STATION,20090012,1
20260011,18079,12996242,KOFINOU ST.,20260011,0
20260012,18079,12996243,MARI,20260012,1
20260011,18079,12996244,KOFINOU ST.,20260011,0
20260012,18079,12996245,MARI,20260012,1
20280011,18079,12996246,KOFINOU STATION,20280011,0
20280012,18079,12996247,ODOU,20280012,1
20280011,18079,12996248,KOFINOU STATION,20280011,0
20280012,18079,12996249,ODOU,20280012,1
20280011,18079,12996250,KOFINOU STATION,20280011,0
20280012,18079,12996251,ODOU,20280012,1
20280011,18079,12996252,KOFINOU STATION,20280011,0
20280012,18079,12996253,ODOU,20280012,1
20340011,18079,12996254,KOFINOU ST.,20340011,0
20340012,18079,12996255,LARNACA ST.,20340012,1
20340011,18079,12996256,KOFINOU ST.,20340011,0
20340012,18079,12996257,LARNACA ST.,20340012,1
20340011,18079,12996258,KOFINOU ST.,20340011,0
20340012,18079,12996259,LARNACA ST.,20340012,1
20340011,18079,12996260,KOFINOU ST.,20340011,0
20340012,18079,12996261,LARNACA ST.,20340012,1
20290011,18079,12996262,KOFINOU ST.,20290011,0
20290012,18079,12996263,AGIOI VAVATSINIAS,20290012,1
20290011,18079,12996264,KOFINOU ST.,20290011,0
20290012,18079,12996265,AGIOI VAVATSINIAS,20290012,1
20290011,18079,12996266,KOFINOU ST.,20290011,0
20290012,18079,12996267,AGIOI VAVATSINIAS,20290012,1
20290011,18079,12996268,KOFINOU ST.,20290011,0
20290012,18079,12996269,AGIOI VAVATSINIAS,20290012,1
20340011,18079,12996270,KOFINOU ST.,20340011,0
20120011,18079,12996271,PYLA,20120011,0
20120012,18079,12996272,LARNACA STATION,20120012,1
20120011,18079,12996273,PYLA,20120011,0
20120012,18079,12996274,LARNACA STATION,20120012,1
20060011,18079,12996275,TERSEFANOU,20060011,0
20060012,18079,12996276,LARNACA STATION,20060012,1
20300021,18079,12996277,Alampra Station,20300021,0
20300022,18079,12996278,Vavatsinia,20300022,1
20300011,18079,12996279,KOFINOU ST.,20300011,0
20300012,18079,12996280,VAVATSINIA,20300012,1
20300011,18079,12996281,KOFINOU ST.,20300011,0
20300012,18079,12996282,VAVATSINIA,20300012,1
20300021,18079,12996283,Alampra Station,20300021,0
20300022,18079,12996284,Vavatsinia,20300022,1
20070011,18079,12996285,KALO CHORIO,20070011,0
20070012,18079,12996286,LARNACA STATION,20070012,1
20070011,18079,12996287,KALO CHORIO,20070011,0
20070012,18079,12996288,LARNACA STATION,20070012,1
20270011,18079,12996289,KOFINOU STATION,20270011,0
20270012,18079,12996290,MARONI,20270012,1
20270011,18079,12996291,KOFINOU STATION,20270011,0
20270012,18079,12996292,MARONI,20270012,1
20000011,18079,12996293,Pervolia,20000011,0
20000012,18079,12996294,Larnaca Station,20000012,1
20030011,18079,12996295,DROMOLAXIA,20030011,0
20030012,18079,12996296,Larnaca Station,20030012,1
20080021,18079,12996297,Kamares-TradeZone,20080021,0
20080021,18079,12996298,Kamares-TradeZone,20080021,0
20080021,18079,12996299,Kamares-TradeZone,20080021,0
20080021,18079,12996300,Kamares-TradeZone,20080021,0
20080021,18079,12996301,Kamares-TradeZone,20080021,0
20160011,18079,12996302,ARADIPPOU,20160011,0
20160012,18079,12996303,LARNACA STATION,20160012,1
20160011,18079,12996304,ARADIPPOU,20160011,0
20160012,18079,12996305,LARNACA STATION,20160012,1
20160011,18079,12996306,ARADIPPOU,20160011,0
20160012,18079,12996307,LARNACA STATION,20160012,1
20160011,18079,12996308,ARADIPPOU,20160011,0
20160012,18079,12996309,LARNACA STATION,20160012,1
20170011,18079,12996310,LARNACA STATION,20170011,0
20170011,18079,12996311,LARNACA STATION,20170011,0
20170011,18079,12996312,LARNACA STATION,20170011,0
20190011,18079,12996313,FAROS,20190011,0
20190012,18079,12996314,Larnaca Station,20190012,1
20190011,18079,12996315,FAROS,20190011,0
20190022,18079,12996316,LARNACA STATION,20190022,1
20190011,18079,12996317,FAROS,20190011,0
20190022,18079,12996318,LARNACA STATION,20190022,1
20320011,18079,12996319,KOFINOU STATION,20320011,0
20320012,18079,12996320,PENTASCHINOS,20320012,1
20320011,18079,12996321,KOFINOU STATION,20320011,0
20320012,18079,12996322,PENTASCHINOS,20320012,1
20320011,18079,12996323,KOFINOU STATION,20320011,0
20320012,18079,12996324,PENTASCHINOS,20320012,1
20320011,18079,12996325,KOFINOU STATION,20320011,0
20320012,18079,12996326,PENTASCHINOS,20320012,1
20320011,18079,12996327,KOFINOU STATION,20320011,0
20330012,18079,12996328,LARNACA STATION,20330012,1
20330011,18079,12996329,ZYGI,20330011,0
20330012,18079,12996330,LARNACA STATION,20330012,1
20330011,18079,12996331,ZYGI,20330011,0
20330012,18079,12996332,LARNACA STATION,20330012,1
20330011,18079,12996333,ZYGI,20330011,0
20040011,18079,12996334,Troulloi,20040011,0
20040012,18079,12996335,Larnaca Station,20040012,1
20040011,18079,12996336,Troulloi,20040011,0
20040012,18079,12996337,Larnaca Station,20040012,1
20110011,18079,12996338,MALL via Drosia,20110011,0
20110012,18079,12996339,LARNACA STATION,20110012,1
20110011,18079,12996340,MALL via Drosia,20110011,0
20110012,18079,12996341,LARNACA STATION,20110012,1
20110011,18079,12996342,MALL via Drosia,20110011,0
20110012,18079,12996343,LARNACA STATION,20110012,1
20150021,18079,12996344,AIRPORT,20150021,0
20150012,18079,12996345,DEKELEIA,20150012,1
20150011,18079,12996346,AIRPORT,20150011,0
20150012,18079,12996347,DEKELEIA,20150012,1
20150011,18079,12996348,AIRPORT,20150011,0
20150012,18079,12996349,DEKELEIA,20150012,1
20150011,18079,12996350,AIRPORT,20150011,0
20150012,18079,12996351,DEKELEIA,20150012,1
20150031,18079,12996352,LARNACA STATION,20150031,0
20370012,18079,12996353,LARNACA ST.,20370012,1
20370011,18079,12996354,DELIKIPOS,20370011,0
20370012,18079,12996355,LARNACA ST.,20370012,1
20370011,18079,12996356,DELIKIPOS,20370011,0
20370012,18079,12996357,LARNACA ST.,20370012,1
20370011,18079,12996358,DELIKIPOS,20370011,0
20010021,18079,12996359,Aradippou,20010021,0
20010022,18079,12996360,Larnaca Station,20010022,1
20360012,18079,12996361,Larnaca Station,20360012,1
20360011,18079,12996362,Alampra Station,20360011,0
20360012,18079,12996363,Larnaca Station,20360012,1
20360011,18079,12996364,Alampra Station,20360011,0
20360012,18079,12996365,Larnaca Station,20360012,1
20360011,18079,12996366,Alampra Station,20360011,0
20380012,18079,12996367,LARNACA STATION,20380012,1
20380011,18079,12996368,ALAMINOS,20380011,0
20380012,18079,12996369,LARNACA STATION,20380012,1
20380011,18079,12996370,ALAMINOS,20380011,0
20380012,18079,12996371,LARNACA STATION,20380012,1
20380011,18079,12996372,ALAMINOS,20380011,0
20050011,18079,12996373,OROKLINI,20050011,0
20050012,18079,12996374,Larnaca Station,20050012,1
20090011,18079,12996375,VERGINA,20090011,0
20090012,18079,12996376,LARNACA STATION,20090012,1
20090011,18079,12996377,VERGINA,20090011,0
20090012,18079,12996378,LARNACA STATION,20090012,1
20100021,18079,12996379,Livadia,20100021,0
20100021,18079,12996380,Livadia,20100021,0
20150021,18079,12996381,AIRPORT,20150021,0
20150012,18079,12996382,DEKELEIA,20150012,1
20150011,18079,12996383,AIRPORT,20150011,0
20150012,18079,12996384,DEKELEIA,20150012,1
20150011,18079,12996385,AIRPORT,20150011,0
20150012,18079,12996386,DEKELEIA,20150012,1
20150011,18079,12996387,AIRPORT,20150011,0
20390011,18079,12996388,LARNACA ST.,20390011,0
20390012,18079,12996389,KIVISILI,20390012,1
20390011,18079,12996390,LARNACA ST.,20390011,0
20390012,18079,12996391,KIVISILI,20390012,1
20390011,18079,12996392,LARNACA ST.,20390011,0
20390012,18079,12996393,KIVISILI,20390012,1
20170011,18079,12996394,LARNACA STATION,20170011,0
20170011,18079,12996395,LARNACA STATION,20170011,0
20170011,18079,12996396,LARNACA STATION,20170011,0
20170011,18079,12996397,LARNACA STATION,20170011,0
20410011,18079,12996398,LARNACA ST.,20410011,0
20410012,18079,12996399,ATHIENOU,20410012,1
20410011,18079,12996400,LARNACA ST.,20410011,0
20410012,18079,12996401,ATHIENOU,20410012,1
20410011,18079,12996402,LARNACA ST.,20410011,0
20410012,18079,12996403,ATHIENOU,20410012,1
20150021,18079,12996404,AIRPORT,20150021,0
20150012,18079,12996405,DEKELEIA,20150012,1
20150011,18079,12996406,AIRPORT,20150011,0
20150012,18079,12996407,DEKELEIA,20150012,1
20150011,18079,12996408,AIRPORT,20150011,0
20150012,18079,12996409,DEKELEIA,20150012,1
20150011,18079,12996410,AIRPORT,20150011,0
20150012,18079,12996411,DEKELEIA,20150012,1
20150031,18079,12996412,LARNACA STATION,20150031,0
20180011,18079,12996413,RIZOELIA,20180011,0
20180012,18079,12996414,Larnaca Station,20180012,1
20180011,18079,12996415,RIZOELIA,20180011,0
20180012,18079,12996416,Larnaca Station,20180012,1
20180011,18079,12996417,RIZOELIA,20180011,0
20180012,18079,12996418,Larnaca Station,20180012,1
20120011,18079,12996419,PYLA,20120011,0
20120012,18079,12996420,LARNACA STATION,20120012,1
20170011,18079,12996421,LARNACA STATION,20170011,0
20170011,18079,12996422,LARNACA STATION,20170011,0
20030011,18079,12996423,DROMOLAXIA,20030011,0
20030012,18079,12996424,Larnaca Station,20030012,1
20030011,18079,12996425,DROMOLAXIA,20030011,0
20030012,18079,12996426,Larnaca Station,20030012,1
20110011,18079,12996427,MALL via Drosia,20110011,0
20110012,18079,12996428,LARNACA STATION,20110012,1
20110011,18079,12996429,MALL via Drosia,20110011,0
20110012,18079,12996430,LARNACA STATION,20110012,1
20150021,18079,12996431,AIRPORT,20150021,0
20150012,18079,12996432,DEKELEIA,20150012,1
20150011,18079,12996433,AIRPORT,20150011,0
20150012,18079,12996434,DEKELEIA,20150012,1
20150011,18079,12996435,AIRPORT,20150011,0
20150012,18079,12996436,DEKELEIA,20150012,1
20150011,18079,12996437,AIRPORT,20150011,0
20150012,18079,12996438,DEKELEIA,20150012,1
20150031,18079,12996439,LARNACA STATION,20150031,0
20060011,18079,12996440,TERSEFANOU,20060011,0
20060012,18079,12996441,LARNACA STATION,20060012,1
20010021,18079,12996442,Aradippou,20010021,0
20010022,18079,12996443,Larnaca Station,20010022,1
20010011,18079,12996444,Aradippou,20010011,0
20010012,18079,12996445,Larnaca Station,20010012,1
20010011,18079,12996446,Aradippou,20010011,0
20010012,18079,12996447,Larnaca Station,20010012,1
20000011,18079,12996448,Pervolia,20000011,0
20000012,18079,12996449,Larnaca Station,20000012,1
20050011,18079,12996450,OROKLINI,20050011,0
20050012,18079,12996451,Larnaca Station,20050012,1
20150021,18079,12996452,AIRPORT,20150021,0
20150012,18079,12996453,DEKELEIA,20150012,1
