service_id,date,exception_type
18079,20240730,1
18079,20240731,1
18079,20240801,1
18080,20240802,1
18081,20240803,1
18082,20240804,1
18429,20240805,1
18429,20240806,1
18429,20240807,1
18429,20240808,1
18429,20240812,1
18429,20240813,1
18429,20241017,1
18429,20241021,1
18429,20241022,1
18429,20241023,1
18429,20241024,1
18429,20241008,1
18429,20241009,1
18429,20241010,1
18429,20241014,1
18429,20241015,1
18429,20241016,1
18429,20240926,1
18429,20240930,1
18429,20241001,1
18429,20241002,1
18429,20241003,1
18429,20241007,1
18429,20240917,1
18429,20240918,1
18429,20240919,1
18429,20240923,1
18429,20240924,1
18429,20240925,1
18429,20240905,1
18429,20240909,1
18429,20240910,1
18429,20240911,1
18429,20240912,1
18429,20240916,1
18429,20240827,1
18429,20240828,1
18429,20240829,1
18429,20240902,1
18429,20240903,1
18429,20240904,1
18429,20240814,1
18429,20240819,1
18429,20240820,1
18429,20240821,1
18429,20240822,1
18429,20240826,1
18430,20240809,1
18430,20240816,1
18430,20240823,1
18430,20240830,1
18430,20240906,1
18430,20240913,1
18430,20240920,1
18430,20240927,1
18430,20241004,1
18430,20241011,1
18430,20241018,1
18430,20241025,1
18431,20240810,1
18431,20240817,1
18431,20240824,1
18431,20240831,1
18431,20240907,1
18431,20240914,1
18431,20240921,1
18431,20240928,1
18431,20241005,1
18431,20241012,1
18431,20241019,1
18432,20240811,1
18432,20240815,1
18432,20240818,1
18432,20240825,1
18432,20240901,1
18432,20240908,1
18432,20240915,1
18432,20240922,1
18432,20240929,1
18432,20241006,1
18432,20241013,1
18432,20241020,1
18471,20240727,1
18472,20240728,1
18473,20240729,1
