route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
50020012,18065,12985367,LARNACA,50020012,1
50020011,18065,12985368,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985369,LARNACA,50020012,1
50020011,18065,12985370,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985371,LARNACA,50020012,1
50020011,18065,12985372,AG.NAPA-PARALIMNI,50020011,0
50020011,18065,12985373,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985374,LARNACA,50020012,1
50020011,18065,12985375,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985376,LARNACA,50020012,1
50020011,18065,12985377,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985378,LARNACA,50020012,1
50070011,18065,12985379,NICOSIA,50070011,0
50070012,18065,12985380,LARNACA,50070012,1
50070011,18065,12985381,NICOSIA,50070011,0
50070012,18065,12985382,LARNACA,50070012,1
50070031,18065,12985383,NICOSIA,50070031,0
50070032,18065,12985384,LARNACA,50070032,1
50010042,18065,12985385,NICOSIA,50010042,1
50010031,18065,12985386,PARALIMNI,50010031,0
50010012,18065,12985387,NICOSIA,50010012,1
50010031,18065,12985388,PARALIMNI,50010031,0
50000011,18065,12985389,PAFOS,50000011,0
50000012,18065,12985390,NICOSIA,50000012,1
50000011,18065,12985391,PAFOS,50000011,0
50000012,18065,12985392,NICOSIA,50000012,1
50060011,18065,12985393,LIMASSOL,50060011,0
50060012,18065,12985394,NICOSIA,50060012,1
50060011,18065,12985395,LIMASSOL,50060011,0
50060022,18065,12985396,NICOSIA,50060022,1
50060012,18065,12985397,NICOSIA,50060012,1
50060011,18065,12985398,LIMASSOL,50060011,0
50060012,18065,12985399,NICOSIA,50060012,1
50060021,18065,12985400,LIMASSOL,50060021,0
50010042,18065,12985401,NICOSIA,50010042,1
50010011,18065,12985402,AG.NAPA-PARALIMNI,50010011,0
50010012,18065,12985403,NICOSIA,50010012,1
50010011,18065,12985404,AG.NAPA-PARALIMNI,50010011,0
50040012,18065,12985405,LARNACA,50040012,1
50040011,18065,12985406,LIMASSOL,50040011,0
50050011,18065,12985407,PAFOS,50050011,0
50050012,18065,12985408,PARALIMNI,50050012,1
50070031,18065,12985409,NICOSIA,50070031,0
50070032,18065,12985410,LARNACA,50070032,1
50070011,18065,12985411,NICOSIA,50070011,0
50070012,18065,12985412,LARNACA,50070012,1
50070011,18065,12985413,NICOSIA,50070011,0
50070012,18065,12985414,LARNACA,50070012,1
50040011,18065,12985415,LIMASSOL,50040011,0
50040012,18065,12985416,LARNACA,50040012,1
50040011,18065,12985417,LIMASSOL,50040011,0
50040012,18065,12985418,LARNACA,50040012,1
50020012,18065,12985419,LARNACA,50020012,1
50020011,18065,12985420,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985421,LARNACA,50020012,1
50020011,18065,12985422,AG.NAPA-PARALIMNI,50020011,0
50020012,18065,12985423,LARNACA,50020012,1
50020011,18065,12985424,AG.NAPA-PARALIMNI,50020011,0
50040011,18065,12985425,LIMASSOL,50040011,0
50040012,18065,12985426,LARNACA,50040012,1
50040011,18065,12985427,LIMASSOL,50040011,0
50040012,18065,12985428,LARNACA,50040012,1
50060011,18065,12985429,LIMASSOL,50060011,0
50060012,18065,12985430,NICOSIA,50060012,1
50060011,18065,12985431,LIMASSOL,50060011,0
50060012,18065,12985432,NICOSIA,50060012,1
50030011,18065,12985433,PAFOS,50030011,0
50030012,18065,12985434,LIMASSOL,50030012,1
50030011,18065,12985435,PAFOS,50030011,0
