trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
12985367,05:55:00,05:55:00,7994,0,0,0
12985367,06:05:00,06:05:00,5683,1,0,0
12985367,06:07:00,06:07:00,5602,2,0,0
12985367,06:08:00,06:08:00,5847,3,0,0
12985367,06:10:00,06:10:00,5850,4,0,0
12985367,06:11:00,06:11:00,5854,5,0,0
12985367,06:15:00,06:15:00,5858,6,0,0
12985367,06:52:00,06:52:00,5867,7,0,0
12985367,06:55:00,06:55:00,6665,8,0,0
12985367,06:57:00,06:57:00,6417,9,0,0
12985367,07:00:00,07:00:00,6427,10,0,0
12985367,07:02:00,07:02:00,6555,11,0,0
12985367,07:04:00,07:04:00,6595,12,0,0
12985367,07:05:00,07:05:00,6497,13,0,0
12985368,07:30:00,07:30:00,6104,0,0,0
12985368,07:32:00,07:32:00,6597,1,0,0
12985368,07:40:00,07:40:00,6601,2,0,0
12985368,07:43:00,07:43:00,6556,3,0,0
12985368,07:48:00,07:48:00,6418,4,0,0
12985368,07:50:00,07:50:00,6429,5,0,0
12985368,07:54:00,07:54:00,6656,6,0,0
12985368,08:18:00,08:18:00,5901,7,0,0
12985368,08:22:00,08:22:00,5859,8,0,0
12985368,08:26:00,08:26:00,5853,9,0,0
12985368,08:29:00,08:29:00,5849,10,0,0
12985368,08:32:00,08:32:00,5848,11,0,0
12985368,08:39:00,08:39:00,5603,12,0,0
12985368,08:50:00,08:50:00,8010,13,0,0
12985369,09:45:00,09:45:00,7994,0,0,0
12985369,09:55:00,09:55:00,5683,1,0,0
12985369,09:57:00,09:57:00,5602,2,0,0
12985369,09:58:00,09:58:00,5847,3,0,0
12985369,10:00:00,10:00:00,5850,4,0,0
12985369,10:01:00,10:01:00,5854,5,0,0
12985369,10:05:00,10:05:00,5858,6,0,0
12985369,10:42:00,10:42:00,5867,7,0,0
12985369,10:45:00,10:45:00,6665,8,0,0
12985369,10:47:00,10:47:00,6417,9,0,0
12985369,10:50:00,10:50:00,6427,10,0,0
12985369,10:52:00,10:52:00,6555,11,0,0
12985369,10:54:00,10:54:00,6595,12,0,0
12985369,10:55:00,10:55:00,6497,13,0,0
12985370,11:30:00,11:30:00,6104,0,0,0
12985370,11:32:00,11:32:00,6597,1,0,0
