service_id,date,exception_type
18391,20240727,1
18391,20240803,1
18391,20240810,1
18391,20240817,1
18391,20240824,1
18391,20240831,1
18391,20240907,1
18391,20240914,1
18391,20240921,1
18391,20240928,1
18393,20240729,1
18393,20240730,1
18393,20240731,1
18393,20240801,1
18393,20240802,1
18393,20240805,1
18393,20240917,1
18393,20240918,1
18393,20240919,1
18393,20240920,1
18393,20240923,1
18393,20240909,1
18393,20240910,1
18393,20240911,1
18393,20240912,1
18393,20240913,1
18393,20240916,1
18393,20240830,1
18393,20240902,1
18393,20240903,1
18393,20240904,1
18393,20240905,1
18393,20240906,1
18393,20240822,1
18393,20240823,1
18393,20240826,1
18393,20240827,1
18393,20240828,1
18393,20240829,1
18393,20240814,1
18393,20240815,1
18393,20240816,1
18393,20240819,1
18393,20240820,1
18393,20240821,1
18393,20240806,1
18393,20240807,1
18393,20240808,1
18393,20240809,1
18393,20240812,1
18393,20240813,1
18441,20240728,1
18441,20240804,1
18441,20240811,1
18441,20240818,1
18441,20240825,1
18441,20240901,1
18441,20241020,1
18441,20240908,1
18441,20240915,1
18441,20240922,1
18441,20240929,1
18441,20241006,1
18441,20241013,1
