route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
30120011,18391,13243958,PAFOS AIRPORT,30120011,0
30120012,18391,13243959,KARAVELLA ST.,30120012,1
30000022,18391,13243960,KARAVELLA ST.,30000022,1
30330011,18391,13243961,POLIS CHRYSOCHOUS,30330011,0
30330011,18391,13243962,POLIS CHRYSOCHOUS,30330011,0
30170011,18391,13243963,APHRODITE BATHS,30170011,0
30170012,18391,13243964,POLIS CHRYSOCHOUS,30170012,1
30240011,18391,13243965,AGIOS NIKOLAOS,30240011,0
30240012,18391,13243966,KARAVELLA ST.,30240012,1
30240011,18391,13243967,AGIOS NIKOLAOS,30240011,0
30240012,18391,13243968,KARAVELLA ST.,30240012,1
30090012,18391,13243969,HARBOUR STATION,30090012,1
30090021,18391,13243970,MUN MARKET ST,30090021,0
30090012,18391,13243971,HARBOUR STATION,30090012,1
30090011,18391,13243972,MUN MARKET ST,30090011,0
30090012,18391,13243973,HARBOUR STATION,30090012,1
30090011,18391,13243974,MUN MARKET ST,30090011,0
30090012,18391,13243975,HARBOUR STATION,30090012,1
30090011,18391,13243976,MUN MARKET ST,30090011,0
30090012,18391,13243977,HARBOUR STATION,30090012,1
30090011,18391,13243978,MUN MARKET ST,30090011,0
30090012,18391,13243979,HARBOUR STATION,30090012,1
30090011,18391,13243980,MUN MARKET ST,30090011,0
30090012,18391,13243981,HARBOUR STATION,30090012,1
30090011,18391,13243982,MUN MARKET ST,30090011,0
30090012,18391,13243983,HARBOUR STATION,30090012,1
30090011,18391,13243984,MUN MARKET ST,30090011,0
30090012,18391,13243985,HARBOUR STATION,30090012,1
30090011,18391,13243986,MUN MARKET ST,30090011,0
30090012,18391,13243987,HARBOUR STATION,30090012,1
30090011,18391,13243988,MUN MARKET ST,30090011,0
30090012,18391,13243989,HARBOUR STATION,30090012,1
30090011,18391,13243990,MUN MARKET ST,30090011,0
30090012,18391,13243991,HARBOUR STATION,30090012,1
30090011,18391,13243992,MUN MARKET ST,30090011,0
30090012,18391,13243993,HARBOUR STATION,30090012,1
30090011,18391,13243994,MUN MARKET ST,30090011,0
30090012,18391,13243995,HARBOUR STATION,30090012,1
30090011,18391,13243996,MUN MARKET ST,30090011,0
30020011,18391,13243997,TOMBS OF KINGS ST,30020011,0
30020012,18391,13243998,TOWN CENTER,30020012,1
30020011,18391,13243999,TOMBS OF KINGS ST,30020011,0
30020012,18391,13244000,TOWN CENTER,30020012,1
30020011,18391,13244001,TOMBS OF KINGS ST,30020011,0
30020012,18391,13244002,TOWN CENTER,30020012,1
30020011,18391,13244003,TOMBS OF KINGS ST,30020011,0
30020012,18391,13244004,TOWN CENTER,30020012,1
30020011,18391,13244005,TOMBS OF KINGS ST,30020011,0
30020012,18391,13244006,TOWN CENTER,30020012,1
30020011,18391,13244007,TOMBS OF KINGS ST,30020011,0
30020012,18391,13244008,TOWN CENTER,30020012,1
30020011,18391,13244009,TOMBS OF KINGS ST,30020011,0
30020012,18391,13244010,TOWN CENTER,30020012,1
30160011,18391,13244011,TOMBS OF KINGS ST,30160011,0
30230021,18391,13244012,ARCHIMANDRITA,30230021,0
30230012,18391,13244013,KARAVELLA ST.,30230012,1
30230011,18391,13244014,ARCHIMANDRITA,30230011,0
30230012,18391,13244015,KARAVELLA ST.,30230012,1
30100011,18391,13244016,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244017,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244018,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244019,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244020,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244021,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244022,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244023,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244024,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244025,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244026,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244027,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244028,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244029,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244030,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244031,TOMBS OF KINGS ST,30100012,1
30100011,18391,13244032,GEROSK. BEACH-WP,30100011,0
30160011,18391,13244033,TOMBS OF KINGS ST,30160011,0
30140011,18391,13244034,CORAL BAY,30140011,0
30140012,18391,13244035,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244036,CORAL BAY,30140011,0
30140012,18391,13244037,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244038,CORAL BAY,30140011,0
30140012,18391,13244039,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244040,CORAL BAY,30140011,0
30140012,18391,13244041,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244042,CORAL BAY,30140011,0
30140011,18391,13244043,CORAL BAY,30140011,0
30140012,18391,13244044,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244045,CORAL BAY,30140011,0
30140012,18391,13244046,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244047,CORAL BAY,30140011,0
30140012,18391,13244048,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244049,CORAL BAY,30140011,0
30140012,18391,13244050,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244051,CORAL BAY,30140011,0
30140012,18391,13244052,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244053,CORAL BAY,30140011,0
30140012,18391,13244054,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244055,CORAL BAY,30140011,0
30140012,18391,13244056,TOMBS OF KINGS ST,30140012,1
30100011,18391,13244057,GEROSK. BEACH-WP,30100011,0
30100012,18391,13244058,TOMBS OF KINGS ST,30100012,1
30350011,18391,13244059,KARAVELLA ST.,30350011,0
30350012,18391,13244060,POLIS CHRYSOCHOUS,30350012,1
30210011,18391,13244061,PISSOURI,30210011,0
30210012,18391,13244062,KARAVELLA ST.,30210012,1
30210011,18391,13244063,PISSOURI,30210011,0
30210012,18391,13244064,KARAVELLA ST.,30210012,1
30210011,18391,13244065,PISSOURI,30210011,0
30250012,18391,13244066,KARAVELLA ST.,30250012,1
30250011,18391,13244067,ARMINOU,30250011,0
30250012,18391,13244068,KARAVELLA ST.,30250012,1
30250011,18391,13244069,ARMINOU,30250011,0
30250012,18391,13244070,KARAVELLA ST.,30250012,1
30250011,18391,13244071,ARMINOU,30250011,0
30260011,18391,13244072,STAVROKONNOU,30260011,0
30260012,18391,13244073,AGIOS IOANNIS,30260012,1
30290011,18391,13244074,DEMETRIANOS (CIR),30290011,0
30290011,18391,13244075,DEMETRIANOS (CIR),30290011,0
30290011,18391,13244076,DEMETRIANOS (CIR),30290011,0
30110011,18391,13244077,PAFOS AIRPORT,30110011,0
30110012,18391,13244078,TOMBS OF KINGS ST,30110012,1
30110011,18391,13244079,PAFOS AIRPORT,30110011,0
30110012,18391,13244080,TOMBS OF KINGS ST,30110012,1
30110011,18391,13244081,PAFOS AIRPORT,30110011,0
30110012,18391,13244082,TOMBS OF KINGS ST,30110012,1
30110011,18391,13244083,PAFOS AIRPORT,30110011,0
30110012,18391,13244084,TOMBS OF KINGS ST,30110012,1
30110011,18391,13244085,PAFOS AIRPORT,30110011,0
30110012,18391,13244086,TOMBS OF KINGS ST,30110012,1
30010011,18391,13244087,GOV. OFFICES,30010011,0
30010011,18391,13244088,GOV. OFFICES,30010011,0
30010011,18391,13244089,GOV. OFFICES,30010011,0
30010011,18391,13244090,GOV. OFFICES,30010011,0
30010011,18391,13244091,GOV. OFFICES,30010011,0
30010011,18391,13244092,GOV. OFFICES,30010011,0
30010011,18391,13244093,GOV. OFFICES,30010011,0
30010011,18391,13244094,GOV. OFFICES,30010011,0
30010011,18391,13244095,GOV. OFFICES,30010011,0
30010011,18391,13244096,GOV. OFFICES,30010011,0
30270022,18391,13244097,KARAVELLA ST.,30270022,1
30270021,18391,13244098,AGIOS FOTIOS,30270021,0
30270022,18391,13244099,KARAVELLA ST.,30270022,1
30270021,18391,13244100,AGIOS FOTIOS,30270021,0
30270022,18391,13244101,KARAVELLA ST.,30270022,1
30270021,18391,13244102,AGIOS FOTIOS,30270021,0
30300012,18391,13244103,KARAVELLA ST.,30300012,1
30300011,18391,13244104,CHOULOU,30300011,0
30300012,18391,13244105,KARAVELLA ST.,30300012,1
30300011,18391,13244106,CHOULOU,30300011,0
30280032,18391,13244107,KARAVELLA ST.,30280032,1
30280011,18391,13244108,PANAGIA ,30280011,0
30280012,18391,13244109,KARAVELLA ST.,30280012,1
30280011,18391,13244110,PANAGIA ,30280011,0
30280012,18391,13244111,KARAVELLA ST.,30280012,1
30280011,18391,13244112,PANAGIA ,30280011,0
30140011,18391,13244113,CORAL BAY,30140011,0
30140012,18391,13244114,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244115,CORAL BAY,30140011,0
30140012,18391,13244116,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244117,CORAL BAY,30140011,0
30140012,18391,13244118,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244119,CORAL BAY,30140011,0
30140012,18391,13244120,TOMBS OF KINGS ST,30140012,1
30140011,18391,13244121,CORAL BAY,30140011,0
30140012,18391,13244122,TOMBS OF KINGS ST,30140012,1
30410011,18391,13244123,AKOURSOS,30410011,0
30410012,18391,13244124,KARAVELLA ST.,30410012,1
30320011,18391,13244125,KARAVELLA ST.,30320011,0
30320012,18391,13244126,POLIS CHRYSOCHOUS,30320012,1
30320011,18391,13244127,KARAVELLA ST.,30320011,0
30220031,18391,13244128,APHRODITE HILLS,30220031,0
30220012,18391,13244129,HARBOUR STATION,30220012,1
30220011,18391,13244130,PETRA TOU ROMIOU,30220011,0
30220012,18391,13244131,HARBOUR STATION,30220012,1
30220011,18391,13244132,PETRA TOU ROMIOU,30220011,0
30120011,18391,13244133,PAFOS AIRPORT,30120011,0
30120012,18391,13244134,KARAVELLA ST.,30120012,1
30160011,18391,13244135,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244136,KARAVELLA ST.,30160012,1
30160011,18391,13244137,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244138,KARAVELLA ST.,30160012,1
30160011,18391,13244139,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244140,KARAVELLA ST.,30160012,1
30160011,18391,13244141,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244142,KARAVELLA ST.,30160012,1
30160011,18391,13244143,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244144,KARAVELLA ST.,30160012,1
30160011,18391,13244145,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244146,KARAVELLA ST.,30160012,1
30160011,18391,13244147,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244148,KARAVELLA ST.,30160012,1
30160011,18391,13244149,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244150,KARAVELLA ST.,30160012,1
30160011,18391,13244151,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244152,KARAVELLA ST.,30160012,1
30160011,18391,13244153,TOMBS OF KINGS ST,30160011,0
30160012,18391,13244154,KARAVELLA ST.,30160012,1
30160011,18391,13244155,TOMBS OF KINGS ST,30160011,0
30050011,18391,13244156,HARBOUR STATION,30050011,0
30050012,18391,13244157,GEROSKIPOU (PAF.),30050012,1
