route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40240011,18468,13314275,AGIA NAPA,40240011,0
40240012,18468,13314276,XYLOTYMPOU,40240012,1
40230011,18468,13314277,AGIA NAPA,40230011,0
40230012,18468,13314278,E.A.C. DHEKELIA,40230012,1
40070011,18468,13314279,PARALIMNI,40070011,0
40150011,18468,13314280,LARNAKA,40150011,0
40150012,18468,13314281,CENTRAL BUS ST.,40150012,1
40110011,18468,13314282,KONNOS,40110011,0
40110012,18468,13314283,XYLOTYMPOU,40110012,1
40010011,18468,13314284,AG. NAPA (W/PARK),40010011,0
40080011,18468,13314285,KONNOS,40080011,0
40080012,18468,13314286,E.A.C. DHEKELIA,40080012,1
40120011,18468,13314287,KONNOS,40120011,0
40100011,18468,13314288,AGIA NAPA,40100011,0
40100012,18468,13314289,DASAKI ACHNAS,40100012,1
40100011,18468,13314290,AGIA NAPA,40100011,0
40100012,18468,13314291,DASAKI ACHNAS,40100012,1
40130011,18468,13314292,AGIA NAPA,40130011,0
40180011,18468,13314293,AGIA THEKLA BEACH,40180011,0
40140011,18468,13314294,AGIA NAPA,40140011,0
40140012,18468,13314295,DERYNEIA,40140012,1
40140011,18468,13314296,AGIA NAPA,40140011,0
40140012,18468,13314297,DERYNEIA,40140012,1
40160011,18468,13314298,LARNAKA,40160011,0
40160012,18468,13314299,CENTRAL BUS ST.,40160012,1
40180011,18468,13314300,AGIA THEKLA BEACH,40180011,0
40040011,18468,13314301,DERYNEIA,40040011,0
40040011,18468,13314302,DERYNEIA,40040011,0
40210011,18468,13314303,KONNOS,40210011,0
40210011,18468,13314304,KONNOS,40210011,0
40200011,18468,13314305,KONNOS,40200011,0
40010011,18468,13314306,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314307,AG. NAPA (W/PARK),40010011,0
40110011,18468,13314308,KONNOS,40110011,0
40110011,18468,13314309,KONNOS,40110011,0
40110012,18468,13314310,XYLOTYMPOU,40110012,1
40000011,18468,13314311,PARALIMNI,40000011,0
40000011,18468,13314312,PARALIMNI,40000011,0
40000011,18468,13314313,PARALIMNI,40000011,0
40000011,18468,13314314,PARALIMNI,40000011,0
40240011,18468,13314315,AGIA NAPA,40240011,0
40130011,18468,13314316,AGIA NAPA,40130011,0
40130012,18468,13314317,STROVILIA,40130012,1
40130011,18468,13314318,AGIA NAPA,40130011,0
40130012,18468,13314319,STROVILIA,40130012,1
40230011,18468,13314320,AGIA NAPA,40230011,0
40080011,18468,13314321,KONNOS,40080011,0
40100011,18468,13314322,AGIA NAPA,40100011,0
40120011,18468,13314323,KONNOS,40120011,0
40150011,18468,13314324,LARNAKA,40150011,0
40150012,18468,13314325,CENTRAL BUS ST.,40150012,1
40020011,18468,13314326,WEST CIRCLE LINE,40020011,0
40020011,18468,13314327,WEST CIRCLE LINE,40020011,0
40020011,18468,13314328,WEST CIRCLE LINE,40020011,0
40000011,18468,13314329,PARALIMNI,40000011,0
40000011,18468,13314330,PARALIMNI,40000011,0
40050011,18468,13314331,DERYNEIA,40050011,0
40050011,18468,13314332,DERYNEIA,40050011,0
40010011,18468,13314333,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314334,AG. NAPA (W/PARK),40010011,0
40120012,18468,13314335,STROVILIA,40120012,1
40120011,18468,13314336,KONNOS,40120011,0
40120012,18468,13314337,STROVILIA,40120012,1
40010011,18468,13314338,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314339,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314340,PARALIMNI,40000011,0
40000011,18468,13314341,PARALIMNI,40000011,0
40090011,18468,13314342,AGIA NAPA,40090011,0
40090011,18468,13314343,AGIA NAPA,40090011,0
40090012,18468,13314344,E.A.C. DHEKELIA,40090012,1
40010011,18468,13314345,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314346,AG. NAPA (W/PARK),40010011,0
40100011,18468,13314347,AGIA NAPA,40100011,0
40040011,18468,13314348,DERYNEIA,40040011,0
40090012,18468,13314349,E.A.C. DHEKELIA,40090012,1
40090011,18468,13314350,AGIA NAPA,40090011,0
40090012,18468,13314351,E.A.C. DHEKELIA,40090012,1
40050011,18468,13314352,DERYNEIA,40050011,0
40050011,18468,13314353,DERYNEIA,40050011,0
40130011,18468,13314354,AGIA NAPA,40130011,0
40130012,18468,13314355,STROVILIA,40130012,1
40130011,18468,13314356,AGIA NAPA,40130011,0
40130012,18468,13314357,STROVILIA,40130012,1
40220011,18468,13314358,EAST CIRCLE LINE,40220011,0
40220011,18468,13314359,EAST CIRCLE LINE,40220011,0
40220011,18468,13314360,EAST CIRCLE LINE,40220011,0
40150011,18468,13314361,LARNAKA,40150011,0
40150012,18468,13314362,CENTRAL BUS ST.,40150012,1
40170011,18468,13314363,LARNAKA,40170011,0
40170012,18468,13314364,PARALIMNI,40170012,1
40000011,18468,13314365,PARALIMNI,40000011,0
40000011,18468,13314366,PARALIMNI,40000011,0
40010011,18468,13314367,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314368,AG. NAPA (W/PARK),40010011,0
40160011,18468,13314369,LARNAKA,40160011,0
40160012,18468,13314370,CENTRAL BUS ST.,40160012,1
40030011,18468,13314371,CIRCLE LINE,40030011,0
40030011,18468,13314372,CIRCLE LINE,40030011,0
40030011,18468,13314373,CIRCLE LINE,40030011,0
40030011,18468,13314374,CIRCLE LINE,40030011,0
40030011,18468,13314375,CIRCLE LINE,40030011,0
40010011,18468,13314376,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314377,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314378,PARALIMNI,40000011,0
40000011,18468,13314379,PARALIMNI,40000011,0
40050011,18468,13314380,DERYNEIA,40050011,0
40120011,18468,13314381,KONNOS,40120011,0
40010011,18468,13314382,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314383,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314384,PARALIMNI,40000011,0
40000011,18468,13314385,PARALIMNI,40000011,0
40040011,18468,13314386,DERYNEIA,40040011,0
40000011,18468,13314387,PARALIMNI,40000011,0
40010011,18468,13314388,AG. NAPA (W/PARK),40010011,0
40100012,18468,13314389,DASAKI ACHNAS,40100012,1
40010011,18468,13314390,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314391,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314392,AG. NAPA (W/PARK),40010011,0
40050011,18468,13314393,DERYNEIA,40050011,0
40010011,18468,13314394,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314395,PARALIMNI,40000011,0
40000011,18468,13314396,PARALIMNI,40000011,0
40150011,18468,13314397,LARNAKA,40150011,0
40010011,18468,13314398,AG. NAPA (W/PARK),40010011,0
40120011,18468,13314399,KONNOS,40120011,0
40000011,18468,13314400,PARALIMNI,40000011,0
40010011,18468,13314401,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314402,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314403,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314404,AG. NAPA (W/PARK),40010011,0
40100011,18468,13314405,AGIA NAPA,40100011,0
40100012,18468,13314406,DASAKI ACHNAS,40100012,1
40040011,18468,13314407,DERYNEIA,40040011,0
40010011,18468,13314408,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314409,PARALIMNI,40000011,0
40150011,18468,13314410,LARNAKA,40150011,0
40150012,18468,13314411,CENTRAL BUS ST.,40150012,1
40160011,18468,13314412,LARNAKA,40160011,0
40160012,18468,13314413,CENTRAL BUS ST.,40160012,1
40170011,18468,13314414,LARNAKA,40170011,0
40170012,18468,13314415,PARALIMNI,40170012,1
40040011,18468,13314416,DERYNEIA,40040011,0
40000011,18468,13314417,PARALIMNI,40000011,0
40000011,18468,13314418,PARALIMNI,40000011,0
40140012,18468,13314419,DERYNEIA,40140012,1
40010011,18468,13314420,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314421,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314422,PARALIMNI,40000011,0
40000011,18468,13314423,PARALIMNI,40000011,0
40140011,18468,13314424,AGIA NAPA,40140011,0
40000011,18468,13314425,PARALIMNI,40000011,0
40010011,18468,13314426,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314427,AG. NAPA (W/PARK),40010011,0
40040011,18468,13314428,DERYNEIA,40040011,0
40040011,18468,13314429,DERYNEIA,40040011,0
40000011,18468,13314430,PARALIMNI,40000011,0
40000011,18468,13314431,PARALIMNI,40000011,0
40050011,18468,13314432,DERYNEIA,40050011,0
40150011,18468,13314433,LARNAKA,40150011,0
40150012,18468,13314434,CENTRAL BUS ST.,40150012,1
40020011,18468,13314435,WEST CIRCLE LINE,40020011,0
40020011,18468,13314436,WEST CIRCLE LINE,40020011,0
40020011,18468,13314437,WEST CIRCLE LINE,40020011,0
40010011,18468,13314438,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314439,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314440,PARALIMNI,40000011,0
40000011,18468,13314441,PARALIMNI,40000011,0
40080011,18468,13314442,KONNOS,40080011,0
40080012,18468,13314443,E.A.C. DHEKELIA,40080012,1
40220011,18468,13314444,EAST CIRCLE LINE,40220011,0
40220011,18468,13314445,EAST CIRCLE LINE,40220011,0
40010011,18468,13314446,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314447,PARALIMNI,40000011,0
40000011,18468,13314448,PARALIMNI,40000011,0
40150011,18468,13314449,LARNAKA,40150011,0
40150012,18468,13314450,CENTRAL BUS ST.,40150012,1
40160011,18468,13314451,LARNAKA,40160011,0
40160012,18468,13314452,CENTRAL BUS ST.,40160012,1
40170011,18468,13314453,LARNAKA,40170011,0
40170012,18468,13314454,PARALIMNI,40170012,1
40030011,18468,13314455,CIRCLE LINE,40030011,0
40030011,18468,13314456,CIRCLE LINE,40030011,0
40050011,18468,13314457,DERYNEIA,40050011,0
40040011,18468,13314458,DERYNEIA,40040011,0
40040011,18468,13314459,DERYNEIA,40040011,0
40010011,18468,13314460,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314461,AG. NAPA (W/PARK),40010011,0
40000011,18468,13314462,PARALIMNI,40000011,0
40000011,18468,13314463,PARALIMNI,40000011,0
40000011,18468,13314464,PARALIMNI,40000011,0
40010011,18468,13314465,AG. NAPA (W/PARK),40010011,0
40010011,18468,13314466,AG. NAPA (W/PARK),40010011,0
40030011,18468,13314467,CIRCLE LINE,40030011,0
40040011,18468,13314468,DERYNEIA,40040011,0
40010011,18468,13314469,AG. NAPA (W/PARK),40010011,0
